Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,metric,cr,lambda
0.114106853556071,0.524943082610325,0.2042555198840526,0.47088115732581526,1.0,1.0,0.37201646090534984,m_y=1,1.0,1.7
0.31228858685152544,0.6715982967336239,0.319023309612637,0.6681228017679114,0.2,0.0,0.2878179384203481,m_y=0,1.0,1.7
-0.5993452414449256,0.40057025634104615,-0.3155799105088031,0.11680492540492363,1.0,0.8,0.09283931910461385,m_a=0,1.0,1.7
-0.31837108923786406,0.0513709529859188,-0.31837108923786406,0.051370952985918795,1.0,1.0,-0.18538587848932686,m_a=1,1.0,1.7
-0.46344822476454717,0.3859762573843229,-0.2300143592544035,0.15254239187417923,1.0,1.0,0.12079510703363916,m_u,1.0,1.7
0.11326107734240634,0.5249931287132121,0.2035415311326271,0.4709109975099053,1.0,1.0,0.37201646090534984,m_y=1,0.5,1.7
0.3111881469043724,0.6713605937405902,0.31792473425088685,0.6678870323462142,0.0,0.0,0.2878179384203481,m_y=0,0.5,1.7
-0.6005887976713287,0.4030927737058548,-0.31571501667232144,0.11821899270684769,1.0,1.0,0.09283931910461385,m_a=0,0.5,1.7
-0.3190107853863938,0.05195322089588365,-0.31901078538639377,0.051953220895883764,1.0,1.0,-0.18538587848932686,m_a=1,0.5,1.7
-0.538088844007049,0.975025594962944,-0.06939742450409518,0.5063341754599902,1.0,1.0,0.35117227319062183,m_u,0.5,1.7
0.1150407074521433,0.5241434652978683,0.20463840714219259,0.4703231269340774,1.0,1.0,0.37201646090534984,m_y=1,0.3333333333333333,1.7
0.3128353136254815,0.670533923450648,0.31951853591165175,0.6670768654834811,0.2,0.0,0.2878179384203481,m_y=0,0.3333333333333333,1.7
-0.5981525220982451,0.4003530947143492,-0.3147491675323615,0.11694974014846557,1.0,0.8,0.09283931910461385,m_a=0,0.3333333333333333,1.7
-0.3178050627365079,0.051251661394529927,-0.31780506273650777,0.051251661394529954,1.0,1.0,-0.18538587848932686,m_a=1,0.3333333333333333,1.7
-0.6053224066375074,1.5571895126224473,0.09408587206178355,0.8577812339231563,1.0,1.0,0.5815494393476046,m_u,0.3333333333333333,1.7
0.11559204817873003,0.5234753361394834,0.20487613985696784,0.4697812330055525,1.0,1.0,0.37201646090534984,m_y=1,0.25,1.7
0.3135814166576812,0.6705401814384533,0.32025567116618603,0.6670833926616841,0.0,0.0,0.2878179384203481,m_y=0,0.25,1.7
-0.5944813431927274,0.39524990372726554,-0.3139467299926891,0.1147152905272274,1.0,0.8,0.09283931910461385,m_a=0,0.25,1.7
-0.3182468801991649,0.04919370025421157,-0.3182468801991648,0.0491937002542116,1.0,1.0,-0.18538587848932686,m_a=1,0.25,1.7
-0.6669956178318455,2.1296526346858813,0.2561091032789836,1.2065479135750519,1.0,1.0,0.8119266055045872,m_u,0.25,1.7
0.11870569080704921,0.5225400743445014,0.2066023170740016,0.46954486105557525,1.0,1.0,0.37201646090534984,m_y=1,0.2,1.7
0.31601392852289056,0.6695627760654292,0.3225735727812273,0.6661532720097062,0.2,0.2,0.2878179384203481,m_y=0,0.2,1.7
-0.591074497292562,0.3893782957186909,-0.31371861458643857,0.11202241301256755,1.0,0.6,0.09283931910461385,m_a=0,0.2,1.7
-0.3159309379238836,0.05042497190309068,-0.31593093792388355,0.050424971903090685,1.0,1.0,-0.18538587848932686,m_a=1,0.2,1.7
-0.7176993696315472,2.7010730247227372,0.4231069369119881,1.560266718179202,1.0,1.0,1.0423037716615697,m_u,0.2,1.7
0.11925949439056091,0.5211086898743661,0.20667932372982795,0.4685205432490879,1.0,1.0,0.37201646090534984,m_y=1,0.16666666666666666,1.7
0.31832991219821616,0.6702172789513979,0.3249034402074155,0.6668215046013519,0.2,0.0,0.2878179384203481,m_y=0,0.16666666666666666,1.7
-0.5822520760196013,0.3809494537540643,-0.3106133216761687,0.10931069941063169,1.0,0.6,0.09283931910461385,m_a=0,0.16666666666666666,1.7
-0.31988588231147597,0.04362324227580579,-0.3198858823114759,0.04362324227580582,1.0,1.0,-0.18538587848932686,m_a=1,0.16666666666666666,1.7
-0.7635570733513253,3.23431842324207,0.5771920077199297,1.893569342170815,1.0,1.0,1.2726809378185526,m_u,0.16666666666666666,1.7
0.11746091424950814,0.5222314151793357,0.20578903610625182,0.46911202298748067,1.0,1.0,0.37201646090534984,m_y=1,0.14285714285714285,1.7
0.31557422808844704,0.6699638261350167,0.3221928355596813,0.6665388390249969,0.2,0.0,0.2878179384203481,m_y=0,0.14285714285714285,1.7
-0.5886817571930327,0.3874107959766637,-0.31285514184594965,0.1115841806295806,1.0,0.8,0.09283931910461385,m_a=0,0.14285714285714285,1.7
-0.3184123736008049,0.047586393696271025,-0.3184123736008048,0.04758639369627108,1.0,1.0,-0.18538587848932686,m_a=1,0.14285714285714285,1.7
-0.8470485240707333,3.8443317974557436,0.7412741569646111,2.2560091164203993,1.0,1.0,1.5030581039755353,m_u,0.14285714285714285,1.7
0.11619247744315808,0.5237464209866071,0.20512401105906503,0.4703668111776936,1.0,1.0,0.37201646090534984,m_y=1,0.125,1.7
0.31401215691074286,0.6707590293462553,0.32065351142093684,0.6673268089416637,0.0,0.0,0.2878179384203481,m_y=0,0.125,1.7
-0.5947682403984894,0.3944053165115114,-0.31481750938202147,0.11445458549504353,1.0,1.0,0.09283931910461385,m_a=0,0.125,1.7
-0.31811205918748936,0.05095257065172558,-0.31811205918748936,0.05095257065172568,1.0,1.0,-0.18538587848932686,m_a=1,0.125,1.7
-0.9400325953271569,4.463052558266368,0.9023342950319837,2.6206856679072277,1.0,1.0,1.7334352701325177,m_u,0.125,1.7
0.11566972314295407,0.5245379392986902,0.20490208997789336,0.471085176446838,1.0,1.0,0.37201646090534984,m_y=1,0.1111111111111111,1.7
0.3136262936111177,0.6715790656237011,0.3202875343199258,0.6681445004222593,0.0,0.0,0.2878179384203481,m_y=0,0.1111111111111111,1.7
-0.5967941020132084,0.39616853326825746,-0.3157406998372284,0.11511513109227751,1.0,0.8,0.09283931910461385,m_a=0,0.1111111111111111,1.7
-0.31834837757817164,0.051999648242673516,-0.3183483775781716,0.05199964824267357,1.0,1.0,-0.18538587848932686,m_a=1,0.1111111111111111,1.7
-1.0184202134647624,5.059151602079657,1.0624063512693283,2.9783250373455665,1.0,1.0,1.9638124362895006,m_u,0.1111111111111111,1.7
0.11720311221739277,0.5228370211427066,0.20572396521862252,0.46974557078802814,1.0,1.0,0.37201646090534984,m_y=1,0.1,1.7
0.3164066050214503,0.6718045394123748,0.32306354197154347,0.6683761702044735,0.0,0.0,0.2878179384203481,m_y=0,0.1,1.7
-0.5870232115688598,0.3841896776103382,-0.31294566943023805,0.11011213547171654,1.0,0.8,0.09283931910461385,m_a=0,0.1,1.7
-0.32022610193415935,0.045534789141109776,-0.32022610193415935,0.045534789141109845,1.0,1.0,-0.18538587848932686,m_a=1,0.1,1.7
-1.0370154310536681,5.553679476739444,1.2176285700255132,3.299035475660264,1.0,1.0,2.194189602446483,m_u,0.1,1.7
0.11657931643319168,0.5223946649240192,0.20541026638610918,0.46892709896848733,1.0,1.0,0.37201646090534984,m_y=1,0.09090909090909091,1.7
0.315062896885463,0.6701341622040013,0.3217304635583348,0.6666800358577571,0.2,0.2,0.2878179384203481,m_y=0,0.09090909090909091,1.7
-0.589495030865234,0.3871390286034056,-0.31352540695940884,0.11116940469758038,1.0,0.4,0.09283931910461385,m_a=0,0.09090909090909091,1.7
-0.318900488019225,0.04734437697345508,-0.3189004880192249,0.047344376973455074,1.0,1.0,-0.18538587848932686,m_a=1,0.09090909090909091,1.7
-1.1123733575535468,6.15571627611561,1.3848563584627744,3.65848656009929,1.0,1.0,2.4245667686034658,m_u,0.09090909090909091,1.7
0.11856879875131285,0.5230162932056619,0.20686110789906342,0.4698620388610587,1.0,1.0,0.37201646090534984,m_y=1,0.08333333333333333,1.7
0.31708930038913197,0.6712789944075203,0.32371135430237885,0.6678497364467249,0.2,0.0,0.2878179384203481,m_y=0,0.08333333333333333,1.7
-0.5892608443969259,0.38583906579790384,-0.31354497919156926,0.11012320059254717,1.0,0.8,0.09283931910461385,m_a=0,0.08333333333333333,1.7
-0.31692014347364034,0.047976431804293604,-0.31692014347364045,0.04797643180429364,1.0,1.0,-0.18538587848932686,m_a=1,0.08333333333333333,1.7
-1.1636161925353283,6.7339067765712155,1.5581294126111296,4.012161171424759,1.0,1.0,2.654943934760449,m_u,0.08333333333333333,1.7
0.11859538395885708,0.5204361440290227,0.20637039731625517,0.46731104662385226,1.0,1.0,0.37201646090534984,m_y=1,0.07692307692307693,1.7
0.3170299779140876,0.6688087492851041,0.3236182455751822,0.6653733265012355,0.4,0.0,0.2878179384203481,m_y=0,0.07692307692307693,1.7
-0.5835893806168417,0.3835579962415443,-0.3100468178706209,0.11001543349532335,1.0,0.4,0.09283931910461385,m_a=0,0.07692307692307693,1.7
-0.31859909861372765,0.04299759010990249,-0.31859909861372765,0.04299759010990252,1.0,1.0,-0.18538587848932686,m_a=1,0.07692307692307693,1.7
-1.2135717185070825,7.255963984777935,1.7117443118401188,4.330647954430733,1.0,1.0,2.8853211009174315,m_u,0.07692307692307693,1.7
0.11944122392489116,0.5207464454452588,0.2068659884770641,0.4678962523922765,1.0,1.0,0.37201646090534984,m_y=1,0.07142857142857142,1.7
