Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,metric,cr,lambda
0.0810238716492704,0.4190367384295996,0.16017864645033397,0.3658625466651423,1.0,1.0,0.2865448504983389,m_y=1,1.0,1.7
0.3191161533167468,0.6174530581545603,0.32569774997691725,0.6136464521510121,0.0,0.0,0.24802110817941947,m_y=0,1.0,1.7
-0.42464732689078327,0.188891345293441,-0.2395842581065656,0.003828276509223222,1.0,0.2,0.05413703812638049,m_a=0,1.0,1.7
-0.3477193076424839,-0.07151593729281151,-0.34771930764248393,-0.07151593729281155,1.0,1.0,-0.1884758602978942,m_a=1,1.0,1.7
-0.32945541462897593,0.22344114347709,-0.17759428275201836,0.07158001160013254,1.0,0.0,0.08002038735983691,m_u,1.0,1.7
0.08535404530707089,0.42007568186460614,0.1629728737264653,0.36816768537506434,1.0,1.0,0.2865448504983389,m_y=1,0.5,1.7
0.3277016073028661,0.6243618941762099,0.3342301529150292,0.6206094814015085,0.0,0.0,0.24802110817941947,m_y=0,0.5,1.7
-0.4171127925012083,0.16923983998470074,-0.24268631044361508,-0.005186642072892523,1.0,0.0,0.05413703812638049,m_a=0,0.5,1.7
-0.34870199971835836,-0.0736790987781035,-0.34870199971835836,-0.0736790987781035,1.0,1.0,-0.1884758602978942,m_a=1,0.5,1.7
-0.3597597721430616,0.5849356134060097,-0.07349408803223055,0.2986699292951786,1.0,1.0,0.25586136595310904,m_u,0.5,1.7
0.09194520833132266,0.42088774464500744,0.16676766296977888,0.3706651419677032,1.0,1.0,0.2865448504983389,m_y=1,0.3333333333333333,1.7
0.3270220957454293,0.6186633957765624,0.33320438273879815,0.6150793650297849,0.0,0.0,0.24802110817941947,m_y=0,0.3333333333333333,1.7
-0.4263471898850214,0.17450212340310775,-0.24756665672273653,-0.004278409759177065,1.0,0.0,0.05413703812638049,m_a=0,0.3333333333333333,1.7
-0.33461776598450177,-0.05298424467887495,-0.33461776598450177,-0.052984244678875005,1.0,1.0,-0.1884758602978942,m_a=1,0.3333333333333333,1.7
-0.400319477367284,0.9880610607415801,0.039797737298279776,0.5479438460760162,1.0,1.0,0.43170234454638123,m_u,0.3333333333333333,1.7
0.08614277574939436,0.4218246937305311,0.16376129956875496,0.3699020922745785,1.0,1.0,0.2865448504983389,m_y=1,0.25,1.7
0.3245947483267204,0.621319755436999,0.331027989650866,0.6176081007512574,0.0,0.0,0.24802110817941947,m_y=0,0.25,1.7
-0.426233424016689,0.17889082782699686,-0.24539338147549272,-0.0019492147141993929,1.0,0.0,0.05413703812638049,m_a=0,0.25,1.7
-0.3432931709274397,-0.06323020450239114,-0.3432931709274398,-0.06323020450239118,1.0,1.0,-0.1884758602978942,m_a=1,0.25,1.7
-0.45489579968038496,1.3639107112072035,0.1386872145730829,0.7703276969537354,1.0,1.0,0.6075433231396534,m_u,0.25,1.7
0.08762262594434975,0.4167509780674864,0.16346897828404164,0.36548189451979124,1.0,1.0,0.2865448504983389,m_y=1,0.2,1.7
0.31949312520365997,0.6101679473986321,0.3257204932815564,0.6065252572579636,0.0,0.0,0.24802110817941947,m_y=0,0.2,1.7
-0.4231893851945351,0.1857171161924913,-0.2402490202261025,0.0027767512240586987,1.0,0.0,0.05413703812638049,m_a=0,0.2,1.7
-0.3377361729959004,-0.060325305256915394,-0.33773617299590053,-0.06032530525691545,1.0,1.0,-0.1884758602978942,m_a=1,0.2,1.7
-0.49467893113956507,1.7573045467838682,0.25591736753315797,1.0067082481111453,1.0,1.0,0.7833843017329256,m_u,0.2,1.7
0.08532174553757679,0.4198156334838652,0.16325896335290818,0.36731264512360495,1.0,1.0,0.2865448504983389,m_y=1,0.16666666666666666,1.7
0.322800025016701,0.6183089665283009,0.329263435873972,0.6145467797276125,0.0,0.0,0.24802110817941947,m_y=0,0.16666666666666666,1.7
-0.42257124132889495,0.17824280744973153,-0.24240257659599013,-0.0019258572831733563,1.0,0.0,0.05413703812638049,m_a=0,0.16666666666666666,1.7
-0.3434934032845372,-0.06822439309238679,-0.34349340328453726,-0.06822439309238681,1.0,1.0,-0.1884758602978942,m_a=1,0.16666666666666666,1.7
-0.5346559648602496,2.1086417521530505,0.35241299605711085,1.2215727912356902,1.0,1.0,0.9592252803261978,m_u,0.16666666666666666,1.7
0.0832468859110821,0.42128158756524614,0.1620574192219296,0.36844605711584805,1.0,1.0,0.2865448504983389,m_y=1,0.14285714285714285,1.7
0.32067799684355264,0.6187310624215373,0.3271933609445806,0.614964586819038,0.0,0.0,0.24802110817941947,m_y=0,0.14285714285714285,1.7
-0.42727651236931263,0.1861606479158934,-0.24294101902863957,0.001825154575220361,1.0,0.0,0.05413703812638049,m_a=0,0.14285714285714285,1.7
-0.34506032155800304,-0.06573935240488013,-0.34506032155800304,-0.06573935240488013,1.0,1.0,-0.1884758602978942,m_a=1,0.14285714285714285,1.7
-0.6065869301432602,2.519057555841898,0.4522616987809932,1.4602089269176448,1.0,1.0,1.13506625891947,m_u,0.14285714285714285,1.7
0.0846993971661923,0.41776141002704925,0.16214149214176254,0.36572342878546077,1.0,1.0,0.2865448504983389,m_y=1,0.125,1.7
0.3254563376453422,0.6206817593952489,0.3319647353405437,0.6169160059155638,0.0,0.0,0.24802110817941947,m_y=0,0.125,1.7
-0.41368610931545646,0.16846791031329328,-0.24033620018055482,-0.00488199882160831,1.0,0.0,0.05413703812638049,m_a=0,0.125,1.7
-0.3489185403967854,-0.07664751762014674,-0.3489185403967855,-0.07664751762014674,1.0,1.0,-0.1884758602978942,m_a=1,0.125,1.7
-0.5895255290659985,2.7917855594819088,0.5484697969572089,1.653790233458701,1.0,1.0,1.3109072375127422,m_u,0.125,1.7
0.08870599455919338,0.416714471834389,0.1640668030176315,0.36585112030878475,1.0,1.0,0.2865448504983389,m_y=1,0.1111111111111111,1.7
0.32317345015947796,0.6134213193737661,0.3293918042031786,0.6097926206321505,0.0,0.0,0.24802110817941947,m_y=0,0.1111111111111111,1.7
-0.4175870917326727,0.176170130343406,-0.24019448592360168,-0.00122247546566508,1.0,0.0,0.05413703812638049,m_a=0,0.1111111111111111,1.7
-0.3410225297547367,-0.06599157418049546,-0.3410225297547367,-0.0659915741804955,1.0,1.0,-0.1884758602978942,m_a=1,0.1111111111111111,1.7
-0.6309131873654882,3.2298725787807485,0.6791881674629725,1.9197712239522868,1.0,1.0,1.486748216106014,m_u,0.1111111111111111,1.7
0.08632856107657183,0.42119584332943694,0.16376220581694773,0.3694110175262497,1.0,1.0,0.2865448504983389,m_y=1,0.1,1.7
0.3255913880793013,0.6217522603747234,0.3320417947970656,0.6180355360142902,0.0,0.0,0.24802110817941947,m_y=0,0.1,1.7
