,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,metric,id_method,est_method,ls
3,-0.1156185356165726,0.04060584867461914,-0.11561853561657254,0.040605848674619215,0.0,0.0,-0.2802080193812789,m_a=1,MSM,plugin,0.0
4,-0.1929795732801292,0.13647957328012922,-0.10605755459622805,0.04955755459622803,0.0,0.0,-0.2793,m_u,MSM,plugin,0.0
0,-0.21293359479835416,0.11303495672894659,-0.13404453035473024,0.03763048061394859,0.0,0.0,-0.5416911908966058,m_y=1,MSM,plugin,0.0
1,-0.16986654362674022,0.160426026387336,-0.08200040877152803,0.08527688635443027,0.0,0.0,0.18372139837616583,m_y=0,MSM,plugin,0.0
2,-0.2640136123905843,0.24586877704612498,-0.0858822666854046,0.06773743134094531,0.0,0.0,-0.275,m_a=0,MSM,plugin,0.0
3,-0.11459731976167715,0.039490179653857795,-0.11459731976167713,0.039490179653857795,0.0,0.0,-0.2760298129309786,m_a=1,MSM,plugin,0.0
4,-0.18940751025293665,0.1429075102529366,-0.0999855747089364,0.053485574708936376,0.0,0.0,-0.27494999999999997,m_u,MSM,plugin,0.0
0,-0.2182952875729068,0.10647524595170195,-0.1412334254364172,0.03174266490698617,0.0,0.0,-0.5535749265426054,m_y=1,MSM,plugin,0.0
1,-0.16092009585407271,0.1684453750792812,-0.07198922862061127,0.093960792895978,0.0,0.0,0.19039946290701576,m_y=0,MSM,plugin,0.0
2,-0.26960777284902837,0.23773113379554456,-0.09286142865915478,0.06098478960567104,0.0,0.0,-0.28282626100880714,m_a=0,MSM,plugin,0.0
3,-0.12192254010174501,0.03165466241267785,-0.12192254010174515,0.031654662412677746,0.0,0.0,-0.28288429468467624,m_a=1,MSM,plugin,0.0
4,-0.195790878867573,0.134690878867573,-0.10740003213821722,0.04630003213821721,0.0,0.0,-0.2831,m_u,MSM,plugin,0.0
0,-0.21596163550738137,0.1093956273894698,-0.13837216455424792,0.034670838601105716,0.0,0.0,-0.5502582439411998,m_y=1,MSM,plugin,0.0
