,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,metric,id_method,est_method,beta_zy
2,-0.3458991801871932,0.2831833724406418,-0.19419935041188538,0.13148354266533407,1.0,1.0,-0.022479832434629088,m_a=0,IV,plugin,0.0
3,-0.10412342107730095,0.02111527080817772,-0.10412342107730103,0.021115270808177655,1.0,1.0,-0.03018722110144262,m_a=1,IV,plugin,0.0
4,-0.17350581185251648,0.10380581185251651,-0.0965864131649467,0.026886413164946728,1.0,1.0,-0.028799999999999992,m_u,IV,plugin,0.0
0,-0.41322007170485414,-0.08941118843550974,-0.3472128265456414,-0.1567365682775641,1.0,1.0,-0.24073519128958143,m_y=1,IV,plugin,0.0
1,-0.340092021186161,-0.013188575757053279,-0.26158690548763125,-0.09035671677164828,1.0,1.0,-0.1605766342977275,m_y=0,IV,plugin,0.0
2,-0.348304577268497,0.2630921477868655,-0.20022761314922471,0.11501518366759311,1.0,1.0,-0.0423224583893263,m_a=0,IV,plugin,0.0
3,-0.10162784700611982,0.021285138921161906,-0.10162784700611978,0.021285138921161982,1.0,1.0,-0.038843757534953616,m_a=1,IV,plugin,0.0
4,-0.17371253618138516,0.0969125361813851,-0.10074761211161368,0.02394761211161369,1.0,1.0,-0.04029999999999999,m_u,IV,plugin,0.0
0,-0.41597622671913437,-0.088796184921999,-0.3511153750128544,-0.1553538729362654,1.0,1.0,-0.23608903020667732,m_y=1,IV,plugin,0.0
1,-0.33794657674519896,-0.00882403469972921,-0.2598994496661834,-0.08562646390075003,1.0,1.0,-0.16505636070853463,m_y=0,IV,plugin,0.0
2,-0.35432647963385044,0.25893480219414516,-0.20648599753309474,0.11109432009338953,1.0,1.0,-0.033396466908344025,m_a=0,IV,plugin,0.0
3,-0.10633402827778957,0.021837088147544925,-0.10633402827778951,0.021837088147544988,1.0,1.0,-0.03628288746182279,m_a=1,IV,plugin,0.0
4,-0.17825072503915393,0.0976507250391539,-0.1047444373386582,0.02414443733865819,1.0,1.0,-0.03680000000000001,m_u,IV,plugin,0.0
0,-0.4508207952059914,-0.10358060831840918,-0.38112875232949894,-0.17479814802260038,1.0,1.0,-0.24883789931757497,m_y=1,IV,plugin,0.0
1,-0.38275051042916536,-0.031141567876759146,-0.30034894743899504,-0.11233327236390482,1.0,1.0,-0.18161593689958538,m_y=0,IV,plugin,0.0
2,-0.341137313328528,0.30442943174707965,-0.18878225730078252,0.15207437571933416,1.0,1.0,-0.03125602491355367,m_a=0,IV,plugin,0.0
3,-0.1088967419808284,0.018631272215746786,-0.1088967419808284,0.018631272215746796,1.0,1.0,-0.03450693251143222,m_a=1,IV,plugin,0.0
4,-0.17592415618287846,0.1039241561828785,-0.09985327670822518,0.027853276708225176,1.0,1.0,-0.036000000000000004,m_u,IV,plugin,0.0
0,-0.4958275501326804,-0.11511805130881132,-0.42303581325702816,-0.19004112658207215,1.0,1.0,-0.26248736097067754,m_y=1,IV,plugin,0.0
1,-0.42117589625726126,-0.04106043287062786,-0.3346030847954371,-0.12623161180990836,1.0,1.0,-0.1770524233432245,m_y=0,IV,plugin,0.0
