g,s,metric,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,selection_rate,size
_Population,6,m_a=0,-0.2943033783390798,0.07681161190131597,-0.17750008576996495,-0.039991680667798825,1.0,0.0,0.013686196334867784,0.18246687054026503,1.0
_Population,6,m_a=1,-0.21954067460715848,-0.06082388010905909,-0.21954067460715854,-0.06082388010905921,0.5,0.5,-0.23463500220849604,0.18246687054026503,1.0
_Population,6,m_u,-0.22026796751932098,0.10915685640820988,-0.1249455013551551,0.013834390244043995,1.0,0.0,0.0275229357798165,0.18246687054026503,1.0
_Population,6,m_y=0,0.3487940610011221,0.4958074212621094,0.35126394857373744,0.49387147145512805,0.0,0.0,0.28604302545760574,0.18246687054026503,1.0
_Population,6,m_y=1,0.15745507592105867,0.3234932977330891,0.19199432913353465,0.2950414265034911,1.0,1.0,0.23436556085857355,0.18246687054026503,1.0
_Population,7,m_a=0,-0.293833484562948,0.07445349463184181,-0.17671990980513008,-0.04266008012597596,1.0,0.0,0.001485549871990205,0.1834862385321101,1.0
_Population,7,m_a=1,-0.2989894351573651,-0.14417489122974453,-0.298989435157365,-0.14417489122974453,1.0,1.0,-0.2529859098251303,0.1834862385321101,1.0
_Population,7,m_u,-0.23312770044396575,0.09245491756934787,-0.1374419981349041,-0.003230784739713638,1.0,0.0,0.01834862385321101,0.1834862385321101,1.0
_Population,7,m_y=0,0.3475212981470708,0.5052766905145372,0.34939187090702784,0.5038358366594411,0.0,0.0,0.3000627680719741,0.1834862385321101,1.0
_Population,7,m_y=1,0.12219323581551078,0.30190363461285546,0.16235551121495012,0.2689229456542985,1.0,1.0,0.21808487137855243,0.1834862385321101,1.0
_Population,8,m_a=0,-0.2612329639502873,0.009162457040297445,-0.17914879730988967,-0.07292170960010015,0.5,0.0,0.007564570259632253,0.18450560652395515,1.0
_Population,8,m_a=1,-0.29906616893589666,-0.16396874880471957,-0.29906616893589666,-0.16396874880471957,1.0,1.0,-0.23421769890302757,0.18450560652395515,1.0
_Population,8,m_u,-0.18592669954909502,0.0636025405276883,-0.11913930630160824,-0.0031848527197984727,1.0,0.0,0.023955147808358834,0.18450560652395515,1.0
_Population,8,m_y=0,0.3912906738733618,0.5416503138243892,0.3942099505713409,0.5394266715976193,0.0,0.0,0.2831591157111579,0.18450560652395515,1.0
_Population,8,m_y=1,0.14241506725313333,0.30976314552869977,0.17916530303899014,0.2795755525032697,1.0,1.0,0.2197748873321137,0.18450560652395515,1.0
_Population,9,m_a=0,-0.2531797175749568,-0.022335560371228746,-0.18652587766857393,-0.08898940027761153,0.0,0.0,0.011243130775124344,0.18705402650356778,1.0
