,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,metric,id_method,est_method,beta_zy
1,-0.6524447681995917,0.38155374045481016,-0.41698580926553586,0.22249904148594668,1.0,1.0,0.0014304787335494957,m_y=0,IV,plugin,0.0
2,-0.6930087461834538,0.7056644307821628,-0.230602293031072,0.2432579776297811,1.0,1.0,0.0016244170375325773,m_a=0,IV,plugin,0.0
3,-0.23056634723745253,0.2358244383568128,-0.23056634723745253,0.23582443835681274,1.0,1.0,0.0017705446952377413,m_a=1,IV,plugin,0.0
4,-0.46147489638520583,0.4701748963852058,-0.2307109559395097,0.23941095593950973,1.0,1.0,0.0015499999999999958,m_u,IV,plugin,0.0
0,-0.7051440501688356,0.4032305002993546,-0.4801387986983821,0.24689675683767112,1.0,1.0,0.005917774086378719,m_y=1,IV,plugin,0.0
1,-0.6557479942124532,0.38449811771927356,-0.41632522535182287,0.2239839674128088,1.0,1.0,-0.002121913580246921,m_y=0,IV,plugin,0.0
2,-0.6991819323241827,0.7069609860696783,-0.23319693591807283,0.24097598966356837,1.0,1.0,0.003956855874680698,m_a=0,IV,plugin,0.0
3,-0.2346436966709021,0.23398958782821958,-0.23464369667090207,0.23398958782821952,1.0,1.0,0.004070884018925192,m_a=1,IV,plugin,0.0
4,-0.4664324266462009,0.46983242664620084,-0.2339991104388332,0.2373991104388332,1.0,1.0,0.003949999999999995,m_u,IV,plugin,0.0
0,-0.7285033332635447,0.4243225045918166,-0.4899783990358502,0.26378082179505663,1.0,1.0,0.008726737461886238,m_y=1,IV,plugin,0.0
1,-0.6832664899985721,0.3928887713926635,-0.4375405835891354,0.22730440142124447,1.0,1.0,-0.0014300695967203751,m_y=0,IV,plugin,0.0
2,-0.7146116431531693,0.7294950711357217,-0.23212486134495552,0.24700828932750776,1.0,1.0,0.004910274264740222,m_a=0,IV,plugin,0.0
3,-0.2341172963117856,0.24862595426267992,-0.2341172963117856,0.24862595426267992,1.0,1.0,0.005226389489682848,m_a=1,IV,plugin,0.0
4,-0.4770549839588317,0.4914549839588318,-0.23325441311114123,0.24765441311114128,1.0,1.0,0.004900000000000002,m_u,IV,plugin,0.0
0,-0.6335283937719015,0.34092885251352645,-0.4317314389255819,0.18823801785050975,1.0,1.0,-0.024311352253756247,m_y=1,IV,plugin,0.2
1,-0.5953922977049239,0.3150702248625133,-0.38914497859831904,0.16007190573980806,1.0,1.0,-0.038114439324116754,m_y=0,IV,plugin,0.2
2,-0.6427191514096677,0.6586890506815308,-0.23031979931194485,0.24628969858380784,1.0,1.0,0.00856965963566142,m_a=0,IV,plugin,0.2
3,-0.20390219231082035,0.2072890600822815,-0.20390219231082046,0.2072890600822815,1.0,1.0,0.005460394778094402,m_a=1,IV,plugin,0.2
