g,s,metric,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,selection_rate,size
_Population,0,m_a=0,-0.32524609669851234,0.008516441697125898,-0.23735845464291375,-0.0793712003584727,0.0,0.0,0.08982050419739801,0.191131498470948,1.0
_Population,0,m_a=1,-0.20954599148307224,-0.04350578325455162,-0.20954599148307224,-0.04350578325455161,1.0,1.0,-0.17062420858754468,0.191131498470948,1.0
_Population,0,m_u,-0.20578422530414364,0.10384742611963799,-0.1344687833387454,0.0325319841542398,0.5,0.0,0.11416921508664628,0.191131498470948,1.0
_Population,0,m_y=0,0.45864082160601827,0.6009034070531665,0.46071003526496546,0.5993693584022868,0.0,0.0,0.26115692979683325,0.191131498470948,1.0
_Population,0,m_y=1,0.2421705039914313,0.40127670458534537,0.2697512761250186,0.3794524313608991,1.0,1.0,0.3444135593220339,0.191131498470948,1.0
_Population,1,m_a=0,-0.3185576681664786,0.06702203852069652,-0.20826819235511837,-0.0432674372906637,0.5,0.0,0.08325697816237151,0.19215086646279306,1.0
_Population,1,m_a=1,-0.22144935960008522,-0.059403833393649796,-0.22144935960008527,-0.059403833393649845,1.0,1.0,-0.16403655282375906,0.19215086646279306,1.0
_Population,1,m_u,-0.21676349375841195,0.12094290252497664,-0.12783146022211156,0.03201086898867628,0.5,0.0,0.11314984709480122,0.19215086646279306,1.0
_Population,1,m_y=0,0.4136177010277605,0.5700400282318465,0.41634663859626425,0.5680076180824944,0.0,0.0,0.2496798260636476,0.19215086646279306,1.0
_Population,1,m_y=1,0.21041773413165893,0.38469776916312487,0.24440087535663035,0.35747521230011164,1.0,1.0,0.32947641621864987,0.19215086646279306,1.0
_Population,2,m_a=0,-0.29018407030522053,-0.052607796173942706,-0.22899417907108827,-0.11379768740807492,0.0,0.0,0.07292520050942458,0.18603465851172274,1.0
_Population,2,m_a=1,-0.2795402917000254,-0.13916403666539018,-0.2795402917000254,-0.13916403666539015,1.0,1.0,-0.1751844801878113,0.18603465851172274,1.0
_Population,2,m_u,-0.17134062060980385,0.06124887749053781,-0.12154890189331624,0.01145715877405018,0.0,0.0,0.10397553516819572,0.18603465851172274,1.0
_Population,2,m_y=0,0.4936671405001595,0.6345571722334271,0.49560344510874643,0.6331536386334975,0.0,0.0,0.2451963055357567,0.18603465851172274,1.0
_Population,2,m_y=1,0.22295509901715407,0.3793914296193854,0.25203776589704335,0.35619448070983584,1.0,1.0,0.3126964548601441,0.18603465851172274,1.0
_Population,3,m_a=0,-0.3522130496961975,0.016428388955796513,-0.2517958508715065,-0.08398880986889443,0.0,0.0,0.0788978592629907,0.19367991845056065,1.0
_Population,3,m_a=1,-0.19085605855796556,-0.0187068216158896,-0.19085605855796556,-0.01870682161588957,1.0,1.0,-0.1735145674822433,0.19367991845056065,1.0
_Population,3,m_u,-0.2208846830848712,0.11283167594929511,-0.13990407941506597,0.031851072279489995,0.5,0.0,0.10601427115188583,0.19367991845056065,1.0
_Population,3,m_y=0,0.4452090707640586,0.5983024818115807,0.4475805243102009,0.5965583527104412,0.0,0.0,0.26476033057851245,0.19367991845056065,1.0
_Population,3,m_y=1,0.23512942856119384,0.4055531415996795,0.2665392547008544,0.38079751150896246,1.0,1.0,0.3293360889487007,0.19367991845056065,1.0
_Population,4,m_a=0,-0.32163656921741063,-0.013433579422588993,-0.24220910191167433,-0.09286104672832537,0.0,0.0,0.07826164557866949,0.1941896024464832,1.0
_Population,4,m_a=1,-0.17549583237455296,-0.018948052782991442,-0.17549583237455302,-0.018948052782991463,0.5,0.5,-0.18573020424385972,0.1941896024464832,1.0
_Population,4,m_u,-0.18962143756877364,0.09685895031087366,-0.12549965011752173,0.03273716285962164,0.5,0.0,0.09021406727828746,0.1941896024464832,1.0
_Population,4,m_y=0,0.4734426761154683,0.6068011819473289,0.47597225193971426,0.6049169902942901,0.0,0.0,0.27769112826477743,0.1941896024464832,1.0
_Population,4,m_y=1,0.26314917896816803,0.41086310425028677,0.28809090541609256,0.3908738421860573,1.0,1.0,0.3317758342725885,0.1941896024464832,1.0
_Population,5,m_a=0,-0.355377794285795,0.03594824705572275,-0.244168444101653,-0.07526110312841933,0.0,0.0,0.07089207766174138,0.1946992864424057,1.0
_Population,5,m_a=1,-0.1961907081004804,-0.02686052478998663,-0.19619070810048045,-0.026860524789986528,0.5,0.5,-0.17956999725666162,0.1946992864424057,1.0
_Population,5,m_u,-0.22747551056394838,0.11840313543652742,-0.1379170828815468,0.028844707754125842,1.0,0.0,0.09582059123343527,0.1946992864424057,1.0
_Population,5,m_y=0,0.42942484877982534,0.5886051712654246,0.4321509077187104,0.5865866308532789,0.0,0.0,0.2666893732970027,0.1946992864424057,1.0
_Population,5,m_y=1,0.21989736076070243,0.3974468318124898,0.25447668967131937,0.3698820633454593,1.0,1.0,0.31658545777586344,0.1946992864424057,1.0
